,hindi,eng,gpt
0,आपकी कार में ब्लैक बॉक्स,a black box in your car,"

You can type a letter in the box below."
6,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।,the american civil liberties union is deeply concerned too raising a variety of privacy issues,"

The Indian National Congress has a long history of working for the welfare of"
10,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।,this really is a must for our nation,"

India is a country with a rich history. It is a land of"
12,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।,there is going to be a change in how we pay these taxes,"

I don't understand why you are so angry."
13,ऐसा करने के लिए प्रौद्योगिकी है।,the technology is there to do it,"

This is a practice of psychotherapy."
15,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।,americans dont buy as much gas as they used to,"

All Indian people are the same. They all have brown eyes."
16,अब एक गैलन गैस में कार पहले से अधिक मील चलती है।,cars get many more miles to the gallon,"

There is a garden in which there are many flowers."
21,वे कहते हैं दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।,this works out as the most logical alternative over the long term he said,"

This means that if you want to improve the efficiency of the government,"
22,वॉन्क्स इसे माइलेजआधारित उपयोगकर्ता शुल्क कहते हैं।,wonks call it a mileagebased user fee,"

The window is installed with a window air conditioner. It will keep"
26,रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।,the free marketeers at the reason foundation are also fond of having drivers pay per mile,"

The Right to Information Act gives people the right to know what their government"
32,फिर भी बहुत से राज्य और शहर खुदबखुद इस दिशा में आगे बढ़ रहे हैं।,several states and cities are nonetheless moving ahead on their own,"

There is no doubt that both the government and the military are powerful institutions"
34,ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।,those drivers will soon pay the mileage fees instead of gas taxes to the state,"

The coal mine will produce a lot of pollution, so the government should"
35,नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।,nevada has already completed a pilot,"

Nepal is a country with a strong legal system. It does"
36,न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।,new york city is looking into one,"

No matter how good your education is, if you don't have the"
37,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,illinois is trying it on a limited basis with trucks,"

The ILINOS system is based on a system of mirrors that reflect"
39,इस विचार को सभी जगहों पर समर्थन नहीं मिला।,the concept is not a universal hit,"

This document is all-inclusive and covers all aspects of life."
42,यह ऐसी चीज नहीं है जिसे लोग चाहते थे।,it was not something people wanted,"

This doesn't have anything to do with anything. Everybody is different."
52,राज्य के इन प्रारंभिक कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।,there have been some big mistakes in some of these state pilot programs,"

The government of a country has a lot of resources to invest in various"
53,ऐसा करने के लिए बहुत कम खर्चीले तथा कम हस्तक्षेप करने वाले तरीके भी हैं।,there are a lot less expensive and less intrusive ways to do this,"

In order to avoid any problems, make sure you have enough food and"
54,ऑरेगॉन में योजनाकार चालकों को भिन्नभिन्न विकल्प देने का प्रयोग कर रहे हैं।,in oregon planners are experimenting with giving drivers different choices,"

There is a need for a system to track and manage the activities of"
55,वे जीपीएस युक्त या बिना जीपीएस की डिवाइस चुन सकते हैं।,they can choose a device with or without gps,"

The internet is a vast network of computers that use the same language to"
65,पुलिस के अनुसार उसकी मौत डूबने से हुई है।,according to the police his death was due to drowning,"

Pulis is a person who is very fond of money."
67,पुलिस ने अदालत में मौत की जांच की अंतिम रिपोर्ट सौंप दी है।,the police have filed the final investigation report with the court,"

Pulis is having a fight with someone over a parking spot."
72,रूहैल भी पादशाही बाग में रहता है और वह दिवंगत जाहिद का दोस्त था।,ruhail also lives in padshahi park and was a friend of the deceased,"

Roughly, if you have a farm in the state of Bag"
73,रूहैल 25 अगस्त को नमाजएजुम्मा के बाद जाहिद के साथ झेलम में नहाने गया था।,on august 25th after namaazejumma ruhail had gone with jahid to bathe in the jhelum river,"

Rouhailal 25 agasth koi namaj"
75,जब वह वापस आया तो जाहिद वहां नहीं था उसके सिर्फ कपड़े ही थे।,when he returned jahid was not there only his clothes were there,"

If you want to be happy, you should not worry about what other"
76,रूहैल ने जाहिद को तलाश किया लेकिन वह नहीं मिला।,ruhail looked for jahid but he could not find him,"

Rouhailal ne jaaheed koi talaash"
78,उसने किसी को नहीं बताया कि जाहिद डूब गया है।,he did not tell anyone that jahid has drowned,"

Everyone seems to think that only one person can do the job well."
87,कैट की ट्रैडी फुटवियर और परिधानों की सिलेक्शन पेश,presenting cats trendy footwear and clothing collection,"

A ticket for a train that goes through a station with a platform and"
91,यह आपके सगे संबंधियों और प्रियजनों के लिए एक समूचा उपहार है।,it is the perfect gift for your relatives and loved ones,"

You have to register with the government and have a passport in order to"
94,इसकी फुटवियर कलेक्शन को चार चाद लगाने के लिए डेनिम की रेज भी उपलब्ध है।,to make this footwear collection even more impressive even a denim range is also available,"

This pen has a cap that screws on. It has a black ink"
96,कैट एक तरह से मजबूती और लाइफ स्टाइल का मिलन है।,cat in a way is the blend of durability and lifestyle,"

There is a difference between a hat and a cap. A cap is"
97,यहा पर लगेज और ट्रैवल गियर भी उपलब्ध रहते है।,luggage and travel gear is also available here,"

This is a good place and there is a tree with a lot of"
98,एमआरएफ लगातार दसवीं बार जेडी पावर पुरस्कार से सम्मानित,mrf has been awarded the jd power award for the tenth time in a row,"

Emaar Afarish Lagaate Rasaevi M"
